st_name,dose1,dose2,total_doses,last_dose1,last_dose2,last_total_doses,date
Uttar Pradesh,4393145,910385,5303530,4393060,910382,5303442,2021-03-28
Uttarakhand,548314,117507,665821,548177,117507,665684,2021-03-28
West Bengal,4230496,636238,4866734,4229323,636122,4865445,2021-03-28
Miscellaneous,1468271,598754,2067025,1461524,561921,2023445,2021-03-28
Andaman and Nicobar,15989,5372,21361,15989,5372,21361,2021-03-29
Andhra Pradesh,2035410,372913,2408323,1981486,368793,2350279,2021-03-29
Arunachal Pradesh,64618,19190,83808,64272,19178,83450,2021-03-29
Assam,873157,133546,1006703,870902,133346,1004248,2021-03-29
Bihar,2206580,427657,2634237,2206580,427657,2634237,2021-03-29
Chandigarh,63620,10703,74323,63620,10703,74323,2021-03-29
Chhattisgarh,1456510,306665,1763175,1456510,306665,1763175,2021-03-29
Dadra and Nagar Haveli and Daman and Diu,22249,4039,26288,22249,4039,26288,2021-03-29
Delhi,960057,237170,1197227,959715,237160,1196875,2021-03-29
Goa,92572,16030,108602,91828,15892,107720,2021-03-29
Gujarat,4628511,634395,5262906,4616750,634130,5250880,2021-03-29
Haryana,1172236,147164,1319400,1172236,147164,1319400,2021-03-29
Himachal Pradesh,404269,90426,494695,403332,90405,493737,2021-03-29
Jammu and Kashmir,634953,142895,777848,612275,139347,751622,2021-03-29
Jharkhand,1342204,221648,1563852,1341869,221552,1563421,2021-03-29
Karnataka,3130801,421237,3552038,3000838,415341,3416179,2021-03-29
Kerala,2805410,376210,3181620,2659617,371993,3031610,2021-03-29
Ladakh,39298,6394,45692,39298,6394,45692,2021-03-29
Lakshadweep,4724,2076,6800,4724,2076,6800,2021-03-29
Madhya Pradesh,2699003,489494,3188497,2699003,489494,3188497,2021-03-29
Maharashtra,5057844,724821,5782665,5023688,722914,5746602,2021-03-29
Manipur,85731,32560,118291,85717,32505,118222,2021-03-29
Meghalaya,69157,28425,97582,68243,28183,96426,2021-03-29
Mizoram,52576,13272,65848,52575,13156,65731,2021-03-29
Nagaland,59620,22074,81694,59603,22073,81676,2021-03-29
Odisha,1844679,391944,2236623,1844679,391944,2236623,2021-03-29
Puducherry,63209,6915,70124,61157,6823,67980,2021-03-29
Punjab,654673,99681,754354,643575,99052,742627,2021-03-29
Rajasthan,4806418,677766,5484184,4806418,677766,5484184,2021-03-29
Sikkim,60149,12160,72309,60149,12160,72309,2021-03-29
Tamil Nadu,2611426,260087,2871513,2498283,253345,2751628,2021-03-29
Telangana,950014,225462,1175476,950014,225462,1175476,2021-03-29
Tripura,582814,75233,658047,582814,75233,658047,2021-03-29
Uttar Pradesh,4393145,910385,5303530,4393145,910385,5303530,2021-03-29
Uttarakhand,548314,117507,665821,548314,117507,665821,2021-03-29
West Bengal,4250981,637644,4888625,4230496,636238,4866734,2021-03-29
Miscellaneous,1468477,600796,2069273,1468271,598754,2067025,2021-03-29
Andaman and Nicobar,16480,5608,22088,15989,5372,21361,2021-03-30
Andhra Pradesh,2121512,382967,2504479,2035410,372913,2408323,2021-03-30
Arunachal Pradesh,65951,19938,85889,64618,19190,83808,2021-03-30
Assam,901311,137991,1039302,873157,133546,1006703,2021-03-30
Bihar,2281396,430301,2711697,2206580,427657,2634237,2021-03-30
Chandigarh,64871,11082,75953,63620,10703,74323,2021-03-30
Chhattisgarh,1508503,310243,1818746,1456510,306665,1763175,2021-03-30
Dadra and Nagar Haveli and Daman and Diu,22952,4279,27231,22249,4039,26288,2021-03-30
Delhi,993695,244260,1237955,960057,237170,1197227,2021-03-30
Goa,95243,17411,112654,92572,16030,108602,2021-03-30
Gujarat,4828685,653365,5482050,4628511,634395,5262906,2021-03-30
Haryana,1331532,151167,1482699,1172236,147164,1319400,2021-03-30
Himachal Pradesh,431342,91476,522818,404269,90426,494695,2021-03-30
Jammu and Kashmir,656985,146839,803824,634953,142895,777848,2021-03-30
Jharkhand,1350812,223556,1574368,1342204,221648,1563852,2021-03-30
Karnataka,3242113,427360,3669473,3130801,421237,3552038,2021-03-30
Kerala,2957153,382708,3339861,2805410,376210,3181620,2021-03-30
Ladakh,39387,6425,45812,39298,6394,45692,2021-03-30
Lakshadweep,4829,2130,6959,4724,2076,6800,2021-03-30
Madhya Pradesh,2702019,489773,3191792,2699003,489494,3188497,2021-03-30
Maharashtra,5255093,738033,5993126,5057844,724821,5782665,2021-03-30
Manipur,86044,33529,119573,85731,32560,118291,2021-03-30
Meghalaya,70556,29281,99837,69157,28425,97582,2021-03-30
Mizoram,52785,13527,66312,52576,13272,65848,2021-03-30
Nagaland,62104,23183,85287,59620,22074,81694,2021-03-30
Odisha,1925880,401042,2326922,1844679,391944,2236623,2021-03-30
Puducherry,63342,6916,70258,63209,6915,70124,2021-03-30
Punjab,690010,102319,792329,654673,99681,754354,2021-03-30
Rajasthan,4887410,694762,5582172,4806418,677766,5484184,2021-03-30
Sikkim,60964,12322,73286,60149,12160,72309,2021-03-30
Tamil Nadu,2684001,268310,2952311,2611426,260087,2871513,2021-03-30
Telangana,1034705,227420,1262125,950014,225462,1175476,2021-03-30
Tripura,610584,76640,687224,582814,75233,658047,2021-03-30
Uttar Pradesh,4417459,910960,5328419,4393145,910385,5303530,2021-03-30
Uttarakhand,563392,119615,683007,548314,117507,665821,2021-03-30
West Bengal,4437985,653118,5091103,4250981,637644,4888625,2021-03-30
Miscellaneous,1469950,615462,2085412,1468477,600796,2069273,2021-03-30
Andaman and Nicobar,16480,5608,22088,16480,5608,22088,2021-03-31
Andhra Pradesh,2211816,393353,2605169,2121512,382967,2504479,2021-03-31
Arunachal Pradesh,65951,19938,85889,65951,19938,85889,2021-03-31
Assam,908707,140267,1048974,901311,137991,1039302,2021-03-31
Bihar,2398125,436013,2834138,2281396,430301,2711697,2021-03-31
Chandigarh,66030,11551,77581,64871,11082,75953,2021-03-31
Chhattisgarh,1624926,317179,1942105,1508503,310243,1818746,2021-03-31
Dadra and Nagar Haveli and Daman and Diu,23619,4447,28066,22952,4279,27231,2021-03-31
Delhi,1014199,251453,1265652,993695,244260,1237955,2021-03-31
Goa,97320,18430,115750,95243,17411,112654,2021-03-31
Gujarat,5024412,675762,5700174,4828685,653365,5482050,2021-03-31
Haryana,1437776,153823,1591599,1331532,151167,1482699,2021-03-31
Himachal Pradesh,439777,92276,532053,431342,91476,522818,2021-03-31
Jammu and Kashmir,656985,146839,803824,656985,146839,803824,2021-03-31
Jharkhand,1369270,227163,1596433,1350812,223556,1574368,2021-03-31
Karnataka,3374768,436239,3811007,3242113,427360,3669473,2021-03-31
Kerala,3015107,386811,3401918,2957153,382708,3339861,2021-03-31
Ladakh,39516,6494,46010,39387,6425,45812,2021-03-31
Lakshadweep,4829,2130,6959,4829,2130,6959,2021-03-31
Madhya Pradesh,2855859,500807,3356666,2702019,489773,3191792,2021-03-31
Maharashtra,5454614,754723,6209337,5255093,738033,5993126,2021-03-31
Manipur,86331,34507,120838,86044,33529,119573,2021-03-31
Meghalaya,71605,29871,101476,70556,29281,99837,2021-03-31
Mizoram,52859,13807,66666,52785,13527,66312,2021-03-31
Nagaland,63473,23774,87247,62104,23183,85287,2021-03-31
Odisha,1999347,411674,2411021,1925880,401042,2326922,2021-03-31
Puducherry,67035,7130,74165,63342,6916,70258,2021-03-31
Punjab,736424,106024,842448,690010,102319,792329,2021-03-31
Rajasthan,4999156,722156,5721312,4887410,694762,5582172,2021-03-31
Sikkim,61362,12379,73741,60964,12322,73286,2021-03-31
Tamil Nadu,2757835,273796,3031631,2684001,268310,2952311,2021-03-31
Telangana,1066073,229741,1295814,1034705,227420,1262125,2021-03-31
Tripura,620166,77180,697346,610584,76640,687224,2021-03-31
Uttar Pradesh,4483979,914705,5398684,4417459,910960,5328419,2021-03-31
Uttarakhand,577234,121665,698899,563392,119615,683007,2021-03-31
West Bengal,4561135,669031,5230166,4437985,653118,5091103,2021-03-31
Miscellaneous,1479101,705949,2185050,1469950,615462,2085412,2021-03-31
Andaman and Nicobar,17208,5666,22874,16480,5608,22088,2021-04-01
Andhra Pradesh,2328950,406552,2735502,2211816,393353,2605169,2021-04-01
Arunachal Pradesh,71504,21655,93159,65951,19938,85889,2021-04-01
Assam,937673,146070,1083743,908707,140267,1048974,2021-04-01
Bihar,2599756,445297,3045053,2398125,436013,2834138,2021-04-01
Chandigarh,68995,12085,81080,66030,11551,77581,2021-04-01
Chhattisgarh,1851931,325182,2177113,1624926,317179,1942105,2021-04-01
Dadra and Nagar Haveli and Daman and Diu,26876,4731,31607,23619,4447,28066,2021-04-01
Delhi,1076552,260201,1336753,1014199,251453,1265652,2021-04-01
Goa,100899,19506,120405,97320,18430,115750,2021-04-01
Gujarat,5459159,706017,6165176,5024412,675762,5700174,2021-04-01
Haryana,1544298,157502,1701800,1437776,153823,1591599,2021-04-01
Himachal Pradesh,484104,93477,577581,439777,92276,532053,2021-04-01
Jammu and Kashmir,693927,151898,845825,656985,146839,803824,2021-04-01
Jharkhand,1392034,230961,1622995,1369270,227163,1596433,2021-04-01
Karnataka,3505736,441200,3946936,3374768,436239,3811007,2021-04-01
Kerala,3099836,390298,3490134,3015107,386811,3401918,2021-04-01
Ladakh,43775,6547,50322,39516,6494,46010,2021-04-01
Lakshadweep,5090,2130,7220,4829,2130,6959,2021-04-01
Madhya Pradesh,3220877,515109,3735986,2855859,500807,3356666,2021-04-01
Maharashtra,5749202,770774,6519976,5454614,754723,6209337,2021-04-01
Manipur,86708,35827,122535,86331,34507,120838,2021-04-01
Meghalaya,74888,30714,105602,71605,29871,101476,2021-04-01
Mizoram,53603,14421,68024,52859,13807,66666,2021-04-01
Nagaland,65168,24347,89515,63473,23774,87247,2021-04-01
Odisha,2190790,423393,2614183,1999347,411674,2411021,2021-04-01
Puducherry,69200,7370,76570,67035,7130,74165,2021-04-01
Punjab,809761,111085,920846,736424,106024,842448,2021-04-01
Rajasthan,5249027,756876,6005903,4999156,722156,5721312,2021-04-01
Sikkim,65348,12544,77892,61362,12379,73741,2021-04-01
Tamil Nadu,2835444,279179,3114623,2757835,273796,3031631,2021-04-01
Telangana,1125512,232883,1358395,1066073,229741,1295814,2021-04-01
Tripura,641213,78538,719751,620166,77180,697346,2021-04-01
Uttar Pradesh,4766418,931369,5697787,4483979,914705,5398684,2021-04-01
Uttarakhand,615072,124889,739961,577234,121665,698899,2021-04-01
West Bengal,4733333,685936,5419269,4561135,669031,5230166,2021-04-01
Miscellaneous,1488931,778111,2267042,1479101,705949,2185050,2021-04-01
Andaman and Nicobar,17669,5198,22867,17208,5666,22874,2021-04-02
Andhra Pradesh,2495977,411625,2907602,2328950,406552,2735502,2021-04-02
Arunachal Pradesh,77143,23083,100226,71504,21655,93159,2021-04-02
Assam,1003488,163636,1167124,937673,146070,1083743,2021-04-02
Bihar,2690447,430946,3121393,2599756,445297,3045053,2021-04-02
Chandigarh,71745,13070,84815,68995,12085,81080,2021-04-02
Chhattisgarh,2181661,335795,2517456,1851931,325182,2177113,2021-04-02
Dadra and Nagar Haveli and Daman and Diu,31564,6190,37754,26876,4731,31607,2021-04-02
Delhi,1156290,273623,1429913,1076552,260201,1336753,2021-04-02
Goa,109280,20895,130175,100899,19506,120405,2021-04-02
Gujarat,5812421,765853,6578274,5459159,706017,6165176,2021-04-02
Haryana,1558348,156222,1714570,1544298,157502,1701800,2021-04-02
Himachal Pradesh,505998,89694,595692,484104,93477,577581,2021-04-02
Jammu and Kashmir,725720,164014,889734,693927,151898,845825,2021-04-02
Jharkhand,1489422,257300,1746722,1392034,230961,1622995,2021-04-02
Karnataka,3823255,474839,4298094,3505736,441200,3946936,2021-04-02
Kerala,3308955,411492,3720447,3099836,390298,3490134,2021-04-02
Ladakh,49210,6898,56108,43775,6547,50322,2021-04-02
Lakshadweep,5706,1815,7521,5090,2130,7220,2021-04-02
Madhya Pradesh,3377402,525938,3903340,3220877,515109,3735986,2021-04-02
Maharashtra,6247362,780138,7027500,5749202,770774,6519976,2021-04-02
Manipur,83274,32270,115544,86708,35827,122535,2021-04-02
Meghalaya,85992,34154,120146,74888,30714,105602,2021-04-02
Mizoram,56979,14889,71868,53603,14421,68024,2021-04-02
Nagaland,60743,23028,83771,65168,24347,89515,2021-04-02
Odisha,2309764,389688,2699452,2190790,423393,2614183,2021-04-02
Puducherry,70647,7124,77771,69200,7370,76570,2021-04-02
Punjab,973046,117044,1090090,809761,111085,920846,2021-04-02
Rajasthan,5379570,772015,6151585,5249027,756876,6005903,2021-04-02
Sikkim,66638,13266,79904,65348,12544,77892,2021-04-02
Tamil Nadu,2829190,272288,3101478,2835444,279179,3114623,2021-04-02
Telangana,1148692,245427,1394119,1125512,232883,1358395,2021-04-02
Tripura,629858,79527,709385,641213,78538,719751,2021-04-02
Uttar Pradesh,5366904,1061169,6428073,4766418,931369,5697787,2021-04-02
Uttarakhand,690893,135781,826674,615072,124889,739961,2021-04-02
West Bengal,5100255,672027,5772282,4733333,685936,5419269,2021-04-02
Miscellaneous,1490081,784745,2274826,1488931,778111,2267042,2021-04-02
Andaman and Nicobar,18190,5242,23432,17669,5198,22867,2021-04-03
Andhra Pradesh,2585721,421747,3007468,2495977,411625,2907602,2021-04-03
Arunachal Pradesh,80367,24069,104436,77143,23083,100226,2021-04-03
Assam,1033247,172811,1206058,1003488,163636,1167124,2021-04-03
Bihar,2795440,437120,3232560,2690447,430946,3121393,2021-04-03
Chandigarh,75037,13626,88663,71745,13070,84815,2021-04-03
Chhattisgarh,2351463,342599,2694062,2181661,335795,2517456,2021-04-03
Dadra and Nagar Haveli and Daman and Diu,34854,6496,41350,31564,6190,37754,2021-04-03
Delhi,1217323,281444,1498767,1156290,273623,1429913,2021-04-03
Goa,112067,21751,133818,109280,20895,130175,2021-04-03
Gujarat,6127830,795178,6923008,5812421,765853,6578274,2021-04-03
Haryana,1600351,158241,1758592,1558348,156222,1714570,2021-04-03
Himachal Pradesh,524093,90771,614864,505998,89694,595692,2021-04-03
Jammu and Kashmir,754726,167836,922562,725720,164014,889734,2021-04-03
Jharkhand,1511113,260903,1772016,1489422,257300,1746722,2021-04-03
Karnataka,4007374,481282,4488656,3823255,474839,4298094,2021-04-03
Kerala,3430171,419834,3850005,3308955,411492,3720447,2021-04-03
Ladakh,52961,6956,59917,49210,6898,56108,2021-04-03
Lakshadweep,5949,1840,7789,5706,1815,7521,2021-04-03
Madhya Pradesh,3549851,533820,4083671,3377402,525938,3903340,2021-04-03
Maharashtra,6559094,795150,7354244,6247362,780138,7027500,2021-04-03
Manipur,84338,34307,118645,83274,32270,115544,2021-04-03
Meghalaya,87064,34455,121519,85992,34154,120146,2021-04-03
Mizoram,57050,14937,71987,56979,14889,71868,2021-04-03
Nagaland,60826,23165,83991,60743,23028,83771,2021-04-03
Odisha,2426177,397133,2823310,2309764,389688,2699452,2021-04-03
Puducherry,74151,7306,81457,70647,7124,77771,2021-04-03
Punjab,1049891,121071,1170962,973046,117044,1090090,2021-04-03
Rajasthan,5624931,806670,6431601,5379570,772015,6151585,2021-04-03
Sikkim,67370,13284,80654,66638,13266,79904,2021-04-03
Tamil Nadu,2871776,279902,3151678,2829190,272288,3101478,2021-04-03
Telangana,1196610,249892,1446502,1148692,245427,1394119,2021-04-03
Tripura,640102,81006,721108,629858,79527,709385,2021-04-03
Uttar Pradesh,5571181,1071915,6643096,5366904,1061169,6428073,2021-04-03
Uttarakhand,730947,139958,870905,690893,135781,826674,2021-04-03
West Bengal,5271541,686947,5958488,5100255,672027,5772282,2021-04-03
Miscellaneous,1498293,839517,2337810,1490081,784745,2274826,2021-04-03
Andaman and Nicobar,18833,5243,24076,18190,5242,23432,2021-04-04
Andhra Pradesh,2627356,426186,3053542,2585721,421747,3007468,2021-04-04
Arunachal Pradesh,81893,24373,106266,80367,24069,104436,2021-04-04
Assam,1045431,175508,1220939,1033247,172811,1206058,2021-04-04
Bihar,2931751,442459,3374210,2795440,437120,3232560,2021-04-04
Chandigarh,77467,13879,91346,75037,13626,88663,2021-04-04
Chhattisgarh,2659230,351359,3010589,2351463,342599,2694062,2021-04-04
Dadra and Nagar Haveli and Daman and Diu,37685,6683,44368,34854,6496,41350,2021-04-04
Delhi,1296408,286639,1583047,1217323,281444,1498767,2021-04-04
Goa,114143,22023,136166,112067,21751,133818,2021-04-04
Gujarat,6552816,837619,7390435,6127830,795178,6923008,2021-04-04
Haryana,1644625,159605,1804230,1600351,158241,1758592,2021-04-04
Himachal Pradesh,541886,91646,633532,524093,90771,614864,2021-04-04
Jammu and Kashmir,781331,170035,951366,754726,167836,922562,2021-04-04
Jharkhand,1603481,264921,1868402,1511113,260903,1772016,2021-04-04
Karnataka,4123367,484817,4608184,4007374,481282,4488656,2021-04-04
Kerala,3462664,421560,3884224,3430171,419834,3850005,2021-04-04
Ladakh,55645,6962,62607,52961,6956,59917,2021-04-04
Lakshadweep,6243,1846,8089,5949,1840,7789,2021-04-04
Madhya Pradesh,3688501,538769,4227270,3549851,533820,4083671,2021-04-04
Maharashtra,6879975,806946,7686921,6559094,795150,7354244,2021-04-04
Manipur,84572,34779,119351,84338,34307,118645,2021-04-04
Meghalaya,87281,34523,121804,87064,34455,121519,2021-04-04
Mizoram,57059,14971,72030,57050,14937,71987,2021-04-04
Nagaland,60909,23222,84131,60826,23165,83991,2021-04-04
Odisha,2710936,408445,3119381,2426177,397133,2823310,2021-04-04
Puducherry,75651,7402,83053,74151,7306,81457,2021-04-04
Punjab,1129011,123537,1252548,1049891,121071,1170962,2021-04-04
Rajasthan,6020639,847987,6868626,5624931,806670,6431601,2021-04-04
Sikkim,67561,13295,80856,67370,13284,80654,2021-04-04
Tamil Nadu,2901208,285389,3186597,2871776,279902,3151678,2021-04-04
Telangana,1233204,252272,1485476,1196610,249892,1446502,2021-04-04
Tripura,648769,81743,730512,640102,81006,721108,2021-04-04
Uttar Pradesh,5683248,1078039,6761287,5571181,1071915,6643096,2021-04-04
Uttarakhand,773465,143083,916548,730947,139958,870905,2021-04-04
West Bengal,5416000,696805,6112805,5271541,686947,5958488,2021-04-04
Miscellaneous,1498594,841755,2340349,1498293,839517,2337810,2021-04-04
Andaman and Nicobar,19927,5290,25217,18833,5243,24076,2021-04-05
Andhra Pradesh,2739725,439362,3179087,2627356,426186,3053542,2021-04-05
Arunachal Pradesh,83411,24181,107592,81893,24373,106266,2021-04-05
Assam,1087024,189358,1276382,1045431,175508,1220939,2021-04-05
Bihar,3128321,452993,3581314,2931751,442459,3374210,2021-04-05
Chandigarh,80579,14308,94887,77467,13879,91346,2021-04-05
Chhattisgarh,2765623,355118,3120741,2659230,351359,3010589,2021-04-05
Dadra and Nagar Haveli and Daman and Diu,41922,7200,49122,37685,6683,44368,2021-04-05
Delhi,1373454,299084,1672538,1296408,286639,1583047,2021-04-05
Goa,117638,23387,141025,114143,22023,136166,2021-04-05
Gujarat,6817703,871804,7689507,6552816,837619,7390435,2021-04-05
Haryana,1748000,165936,1913936,1644625,159605,1804230,2021-04-05
Himachal Pradesh,577594,93382,670976,541886,91646,633532,2021-04-05
Jammu and Kashmir,815056,166590,981646,781331,170035,951366,2021-04-05
Jharkhand,1685153,266344,1951497,1603481,264921,1868402,2021-04-05
Karnataka,4330730,493047,4823777,4123367,484817,4608184,2021-04-05
Kerala,3597752,433230,4030982,3462664,421560,3884224,2021-04-05
Ladakh,59196,6678,65874,55645,6962,62607,2021-04-05
Lakshadweep,6303,1893,8196,6243,1846,8089,2021-04-05
Madhya Pradesh,3915779,547709,4463488,3688501,538769,4227270,2021-04-05
Maharashtra,7298206,829042,8127248,6879975,806946,7686921,2021-04-05
Manipur,84333,36339,120672,84572,34779,119351,2021-04-05
Meghalaya,87720,33868,121588,87281,34523,121804,2021-04-05
Mizoram,57835,15731,73566,57059,14971,72030,2021-04-05
Nagaland,62688,23533,86221,60909,23222,84131,2021-04-05
Odisha,2868211,418839,3287050,2710936,408445,3119381,2021-04-05
Puducherry,77398,8023,85421,75651,7402,83053,2021-04-05
Punjab,1201737,126499,1328236,1129011,123537,1252548,2021-04-05
Rajasthan,6400581,898724,7299305,6020639,847987,6868626,2021-04-05
Sikkim,70887,12910,83797,67561,13295,80856,2021-04-05
Tamil Nadu,2907580,298198,3205778,2901208,285389,3186597,2021-04-05
Telangana,1296813,257959,1554772,1233204,252272,1485476,2021-04-05
Tripura,663699,82607,746306,648769,81743,730512,2021-04-05
Uttar Pradesh,6071090,1127282,7198372,5683248,1078039,6761287,2021-04-05
Uttarakhand,836601,149062,985663,773465,143083,916548,2021-04-05
West Bengal,5791392,749978,6541370,5416000,696805,6112805,2021-04-05
Miscellaneous,1509648,908129,2417777,1498594,841755,2340349,2021-04-05
Andaman and Nicobar,21509,5341,26850,19927,5290,25217,2021-04-06
Andhra Pradesh,2813650,452961,3266611,2739725,439362,3179087,2021-04-06
Arunachal Pradesh,86864,25402,112266,83411,24181,107592,2021-04-06
Assam,1121967,198977,1320944,1087024,189358,1276382,2021-04-06
Bihar,3413610,471787,3885397,3128321,452993,3581314,2021-04-06
Chandigarh,83325,14968,98293,80579,14308,94887,2021-04-06
Chhattisgarh,2935774,363944,3299718,2765623,355118,3120741,2021-04-06
Dadra and Nagar Haveli and Daman and Diu,46211,7565,53776,41922,7200,49122,2021-04-06
Delhi,1445636,310353,1755989,1373454,299084,1672538,2021-04-06
Goa,121132,24656,145788,117638,23387,141025,2021-04-06
Gujarat,7110160,907581,8017741,6817703,871804,7689507,2021-04-06
Haryana,1832652,170337,2002989,1748000,165936,1913936,2021-04-06
Himachal Pradesh,640752,96325,737077,577594,93382,670976,2021-04-06
Jammu and Kashmir,875779,171870,1047649,815056,166590,981646,2021-04-06
Jharkhand,1735053,271216,2006269,1685153,266344,1951497,2021-04-06
Karnataka,4496243,501678,4997921,4330730,493047,4823777,2021-04-06
Kerala,3623797,435667,4059464,3597752,433230,4030982,2021-04-06
Ladakh,61203,6859,68062,59196,6678,65874,2021-04-06
Lakshadweep,7036,2016,9052,6303,1893,8196,2021-04-06
Madhya Pradesh,4112933,558136,4671069,3915779,547709,4463488,2021-04-06
Maharashtra,7708299,851018,8559317,7298206,829042,8127248,2021-04-06
Manipur,85284,37919,123203,84333,36339,120672,2021-04-06
Meghalaya,91294,34942,126236,87720,33868,121588,2021-04-06
Mizoram,60838,17526,78364,57835,15731,73566,2021-04-06
Nagaland,65756,24347,90103,62688,23533,86221,2021-04-06
Odisha,3076261,432219,3508480,2868211,418839,3287050,2021-04-06
Puducherry,78014,8085,86099,77398,8023,85421,2021-04-06
Punjab,1284982,131328,1416310,1201737,126499,1328236,2021-04-06
Rajasthan,6869590,945743,7815333,6400581,898724,7299305,2021-04-06
Sikkim,77249,13262,90511,70887,12910,83797,2021-04-06
Tamil Nadu,2935315,304106,3239421,2907580,298198,3205778,2021-04-06
Telangana,1353143,264631,1617774,1296813,257959,1554772,2021-04-06
Tripura,676313,83527,759840,663699,82607,746306,2021-04-06
Uttar Pradesh,6478775,1162710,7641485,6071090,1127282,7198372,2021-04-06
Uttarakhand,905908,155827,1061735,836601,149062,985663,2021-04-06
West Bengal,6095641,777848,6873489,5791392,749978,6541370,2021-04-06
Miscellaneous,1509067,897782,2406849,1509648,908129,2417777,2021-04-06
Andaman and Nicobar,22919,5350,28269,21509,5341,26850,2021-04-07
Andhra Pradesh,2924901,465089,3389990,2813650,452961,3266611,2021-04-07
Arunachal Pradesh,88250,25781,114031,86864,25402,112266,2021-04-07
Assam,1138046,206862,1344908,1121967,198977,1320944,2021-04-07
Bihar,3541310,484859,4026169,3413610,471787,3885397,2021-04-07
Chandigarh,86126,15613,101739,83325,14968,98293,2021-04-07
Chhattisgarh,3058059,369790,3427849,2935774,363944,3299718,2021-04-07
Dadra and Nagar Haveli and Daman and Diu,49028,7815,56843,46211,7565,53776,2021-04-07
Delhi,1481156,318250,1799406,1445636,310353,1755989,2021-04-07
Goa,124443,25734,150177,121132,24656,145788,2021-04-07
Gujarat,7224754,922935,8147689,7110160,907581,8017741,2021-04-07
Haryana,1863517,172875,2036392,1832652,170337,2002989,2021-04-07
Himachal Pradesh,680428,97974,778402,640752,96325,737077,2021-04-07
Jammu and Kashmir,920603,175142,1095745,875779,171870,1047649,2021-04-07
Jharkhand,1804732,275586,2080318,1735053,271216,2006269,2021-04-07
Karnataka,4717382,513260,5230642,4496243,501678,4997921,2021-04-07
Kerala,3706748,442665,4149413,3623797,435667,4059464,2021-04-07
Ladakh,62881,7140,70021,61203,6859,68062,2021-04-07
Lakshadweep,7566,2153,9719,7036,2016,9052,2021-04-07
Madhya Pradesh,4402970,570428,4973398,4112933,558136,4671069,2021-04-07
Maharashtra,8075190,874370,8949560,7708299,851018,8559317,2021-04-07
Manipur,86069,39543,125612,85284,37919,123203,2021-04-07
Meghalaya,94058,35833,129891,91294,34942,126236,2021-04-07
Mizoram,63880,18290,82170,60838,17526,78364,2021-04-07
Nagaland,69379,24845,94224,65756,24347,90103,2021-04-07
Odisha,3178508,439053,3617561,3076261,432219,3508480,2021-04-07
Puducherry,79262,8319,87581,78014,8085,86099,2021-04-07
Punjab,1343134,135146,1478280,1284982,131328,1416310,2021-04-07
Rajasthan,7303354,984486,8287840,6869590,945743,7815333,2021-04-07
Sikkim,81528,13657,95185,77249,13262,90511,2021-04-07
Tamil Nadu,2976866,315243,3292109,2935315,304106,3239421,2021-04-07
Telangana,1414009,271233,1685242,1353143,264631,1617774,2021-04-07
Tripura,682191,84838,767029,676313,83527,759840,2021-04-07
Uttar Pradesh,6672131,1175491,7847622,6478775,1162710,7641485,2021-04-07
Uttarakhand,953024,161002,1114026,905908,155827,1061735,2021-04-07
West Bengal,6252846,802674,7055520,6095641,777848,6873489,2021-04-07
Miscellaneous,1531779,946322,2478101,1509067,897782,2406849,2021-04-07
Andaman and Nicobar,25396,5403,30799,22919,5350,28269,2021-04-08
Andhra Pradesh,3020636,476379,3497015,2924901,465089,3389990,2021-04-08
Arunachal Pradesh,93105,27292,120397,88250,25781,114031,2021-04-08
Assam,1182238,223442,1405680,1138046,206862,1344908,2021-04-08
Bihar,3665305,502148,4167453,3541310,484859,4026169,2021-04-08
Chandigarh,89382,16433,105815,86126,15613,101739,2021-04-08
Chhattisgarh,3324849,383529,3708378,3058059,369790,3427849,2021-04-08
Dadra and Nagar Haveli and Daman and Diu,52156,8136,60292,49028,7815,56843,2021-04-08
Delhi,1565598,331955,1897553,1481156,318250,1799406,2021-04-08
Goa,128428,26948,155376,124443,25734,150177,2021-04-08
Gujarat,7501404,973901,8475305,7224754,922935,8147689,2021-04-08
Haryana,1941143,178710,2119853,1863517,172875,2036392,2021-04-08
Himachal Pradesh,741610,100199,841809,680428,97974,778402,2021-04-08
Jammu and Kashmir,995441,182460,1177901,920603,175142,1095745,2021-04-08
Jharkhand,1855334,279814,2135148,1804732,275586,2080318,2021-04-08
Karnataka,4936828,526946,5463774,4717382,513260,5230642,2021-04-08
Kerala,3899535,457416,4356951,3706748,442665,4149413,2021-04-08
Ladakh,63903,7356,71259,62881,7140,70021,2021-04-08
Lakshadweep,8381,2356,10737,7566,2153,9719,2021-04-08
Madhya Pradesh,4651144,583500,5234644,4402970,570428,4973398,2021-04-08
Maharashtra,8435010,903521,9338531,8075190,874370,8949560,2021-04-08
Manipur,86907,41189,128096,86069,39543,125612,2021-04-08
Meghalaya,98207,37030,135237,94058,35833,129891,2021-04-08
Mizoram,67481,19506,86987,63880,18290,82170,2021-04-08
Nagaland,72339,25524,97863,69379,24845,94224,2021-04-08
Odisha,3317085,452068,3769153,3178508,439053,3617561,2021-04-08
Puducherry,81412,8687,90099,79262,8319,87581,2021-04-08
Punjab,1431295,139950,1571245,1343134,135146,1478280,2021-04-08
Rajasthan,7772197,1035154,8807351,7303354,984486,8287840,2021-04-08
Sikkim,90081,14392,104473,81528,13657,95185,2021-04-08
